Date,Team 1,FT,Team 2
Sat Aug 27 1921,Lincoln City,1-0,Walsall
Sat Aug 27 1921,Stalybridge Celtic,6-0,Chesterfield
Sat Aug 27 1921,Barrow,0-2,Stockport County
Sat Aug 27 1921,Ashington,1-0,Grimsby Town
Sat Aug 27 1921,Nelson,1-2,Wigan Borough
Sat Aug 27 1921,Rochdale,6-3,Accrington Stanley
Sat Aug 27 1921,Tranmere Rovers,4-1,Crewe Alexandra
Sat Aug 27 1921,Wrexham,0-2,Hartlepool United
Sat Aug 27 1921,Darlington,2-0,Halifax Town
Sat Aug 27 1921,Southport,1-1,Durham City
Sat Sep 3 1921,Chesterfield,4-0,Stalybridge Celtic
Sat Sep 3 1921,Accrington Stanley,4-0,Rochdale
Sat Sep 3 1921,Grimsby Town,6-1,Ashington
Sat Sep 3 1921,Halifax Town,5-1,Darlington
Sat Sep 3 1921,Durham City,2-0,Southport
Sat Sep 3 1921,Hartlepool United,0-1,Wrexham
Sat Sep 3 1921,Crewe Alexandra,1-1,Tranmere Rovers
Sat Sep 3 1921,Walsall,3-0,Lincoln City
Sat Sep 3 1921,Wigan Borough,1-4,Nelson
Tue Sep 6 1921,Grimsby Town,3-1,Walsall
Sat Sep 10 1921,Southport,3-0,Hartlepool United
Sat Sep 10 1921,Wigan Borough,0-1,Stockport County
Sat Sep 10 1921,Wrexham,2-0,Ashington
Sat Sep 10 1921,Darlington,7-0,Chesterfield
Sat Sep 10 1921,Rochdale,3-3,Halifax Town
Sat Sep 10 1921,Accrington Stanley,2-0,Crewe Alexandra
Sat Sep 10 1921,Durham City,2-0,Barrow
Sat Sep 10 1921,Lincoln City,0-2,Nelson
Sat Sep 10 1921,Tranmere Rovers,0-1,Walsall
Sat Sep 10 1921,Stalybridge Celtic,3-0,Grimsby Town
Mon Sep 12 1921,Nelson,1-0,Stalybridge Celtic
Sat Sep 17 1921,Chesterfield,0-3,Darlington
Sat Sep 17 1921,Walsall,2-0,Tranmere Rovers
