Date,Team 1,FT,Team 2
Wed Aug 19 1953,West Bromwich Albion,2-0,Arsenal
Wed Aug 19 1953,Preston North End,1-2,Huddersfield Town
Wed Aug 19 1953,Sheffield Wednesday,2-0,Manchester City
Wed Aug 19 1953,Liverpool,3-1,Portsmouth
Wed Aug 19 1953,Tottenham Hotspur,1-0,Aston Villa
Wed Aug 19 1953,Manchester United,1-1,Chelsea
Wed Aug 19 1953,Middlesbrough,0-0,Cardiff City
Wed Aug 19 1953,Charlton Athletic,5-3,Sunderland
Wed Aug 19 1953,Burnley,4-1,Wolverhampton Wanderers
Sat Aug 22 1953,Arsenal,0-0,Huddersfield Town
Sat Aug 22 1953,Cardiff City,2-1,Aston Villa
Sat Aug 22 1953,Manchester City,0-4,Wolverhampton Wanderers
Sat Aug 22 1953,West Bromwich Albion,1-1,Bolton Wanderers
Sat Aug 22 1953,Liverpool,4-4,Manchester United
Sat Aug 22 1953,Charlton Athletic,3-1,Burnley
Sat Aug 22 1953,Middlesbrough,0-4,Preston North End
Sat Aug 22 1953,Sheffield Wednesday,2-1,Tottenham Hotspur
Sat Aug 22 1953,Portsmouth,3-4,Sheffield United
Sat Aug 22 1953,Blackpool,2-1,Chelsea
Sat Aug 22 1953,Newcastle United,2-1,Sunderland
Mon Aug 24 1953,Aston Villa,3-0,Manchester City
Mon Aug 24 1953,Sheffield United,1-0,Arsenal
Tue Aug 25 1953,Burnley,2-1,Blackpool
Tue Aug 25 1953,Chelsea,4-3,Portsmouth
Wed Aug 26 1953,Huddersfield Town,2-0,Cardiff City
Wed Aug 26 1953,Sunderland,3-2,Wolverhampton Wanderers
Wed Aug 26 1953,Manchester United,1-3,West Bromwich Albion
Wed Aug 26 1953,Liverpool,2-2,Newcastle United
Wed Aug 26 1953,Preston North End,6-0,Sheffield Wednesday
Wed Aug 26 1953,Bolton Wanderers,3-2,Middlesbrough
Wed Aug 26 1953,Tottenham Hotspur,3-1,Charlton Athletic
Sat Aug 29 1953,Sheffield United,3-4,Blackpool
Sat Aug 29 1953,Wolverhampton Wanderers,3-1,Cardiff City
Sat Aug 29 1953,Preston North End,0-2,West Bromwich Albion
Sat Aug 29 1953,Burnley,4-1,Sheffield Wednesday
Sat Aug 29 1953,Huddersfield Town,5-1,Portsmouth
Sat Aug 29 1953,Tottenham Hotspur,4-1,Middlesbrough
Sat Aug 29 1953,Aston Villa,2-1,Arsenal
Sat Aug 29 1953,Chelsea,3-1,Charlton Athletic
Sat Aug 29 1953,Sunderland,4-5,Manchester City
Sat Aug 29 1953,Manchester United,1-1,Newcastle United
Sat Aug 29 1953,Bolton Wanderers,2-0,Liverpool
Mon Aug 31 1953,Blackpool,2-0,Burnley
Mon Aug 31 1953,Wolverhampton Wanderers,3-1,Sunderland
Tue Sep 1 1953,Arsenal,1-1,Sheffield United
Wed Sep 2 1953,Middlesbrough,3-2,Bolton Wanderers
Wed Sep 2 1953,Sheffield Wednesday,4-2,Preston North End
Wed Sep 2 1953,Portsmouth,3-2,Chelsea
Wed Sep 2 1953,West Bromwich Albion,2-0,Manchester United
Wed Sep 2 1953,Cardiff City,2-1,Huddersfield Town
Wed Sep 2 1953,Manchester City,0-1,Aston Villa
Wed Sep 2 1953,Newcastle United,4-0,Liverpool
Thu Sep 3 1953,Charlton Athletic,0-1,Tottenham Hotspur
Sat Sep 5 1953,Liverpool,1-5,Preston North End
Sat Sep 5 1953,Manchester City,2-0,Manchester United
Sat Sep 5 1953,Middlesbrough,1-3,Burnley
Sat Sep 5 1953,West Bromwich Albion,3-0,Tottenham Hotspur
Sat Sep 5 1953,Blackpool,3-1,Huddersfield Town
Sat Sep 5 1953,Sheffield Wednesday,1-2,Charlton Athletic
Sat Sep 5 1953,Chelsea,1-2,Sheffield United
Sat Sep 5 1953,Newcastle United,2-3,Bolton Wanderers
Sat Sep 5 1953,Arsenal,2-3,Wolverhampton Wanderers
Sat Sep 5 1953,Portsmouth,2-1,Aston Villa
Sat Sep 5 1953,Cardiff City,1-1,Sunderland
Mon Sep 7 1953,Sheffield United,0-1,Cardiff City
Mon Sep 7 1953,Sheffield Wednesday,3-1,Aston Villa
Mon Sep 7 1953,Blackpool,1-1,Portsmouth
Mon Sep 7 1953,Burnley,4-2,Tottenham Hotspur
Mon Sep 7 1953,Wolverhampton Wanderers,2-1,Liverpool
Tue Sep 8 1953,Arsenal,1-2,Chelsea
Wed Sep 9 1953,Preston North End,2-0,Charlton Athletic
Wed Sep 9 1953,Bolton Wanderers,2-1,Sheffield Wednesday
Wed Sep 9 1953,Manchester United,2-2,Middlesbrough
Wed Sep 9 1953,Huddersfield Town,1-1,Manchester City
Wed Sep 9 1953,West Bromwich Albion,2-2,Newcastle United
Sat Sep 12 1953,Sunderland,7-1,Arsenal
Sat Sep 12 1953,Huddersfield Town,3-1,Chelsea
Sat Sep 12 1953,Bolton Wanderers,0-0,Manchester United
Sat Sep 12 1953,Manchester City,1-1,Cardiff City
Sat Sep 12 1953,Wolverhampton Wanderers,4-3,Portsmouth
Sat Sep 12 1953,Charlton Athletic,8-1,Middlesbrough
Sat Sep 12 1953,Sheffield United,2-0,Sheffield Wednesday
Sat Sep 12 1953,Aston Villa,2-1,Blackpool
Sat Sep 12 1953,Tottenham Hotspur,2-1,Liverpool
Sat Sep 12 1953,Preston North End,2-2,Newcastle United
Sat Sep 12 1953,Burnley,1-4,West Bromwich Albion
Mon Sep 14 1953,Aston Villa,3-1,Sunderland
Tue Sep 15 1953,Chelsea,0-2,Arsenal
Wed Sep 16 1953,Liverpool,1-1,Wolverhampton Wanderers
Wed Sep 16 1953,Middlesbrough,1-4,Manchester United
Wed Sep 16 1953,Newcastle United,3-7,West Bromwich Albion
Wed Sep 16 1953,Tottenham Hotspur,2-3,Burnley
Wed Sep 16 1953,Manchester City,0-1,Huddersfield Town
Wed Sep 16 1953,Portsmouth,4-4,Blackpool
Wed Sep 16 1953,Cardiff City,2-0,Sheffield United
Wed Sep 16 1953,Sheffield Wednesday,2-1,Bolton Wanderers
Thu Sep 17 1953,Charlton Athletic,2-1,Preston North End
Sat Sep 19 1953,Portsmouth,4-1,Sunderland
Sat Sep 19 1953,Cardiff City,1-1,Bolton Wanderers
Sat Sep 19 1953,Sheffield United,3-6,Huddersfield Town
Sat Sep 19 1953,Middlesbrough,4-1,Sheffield Wednesday
Sat Sep 19 1953,Manchester United,1-0,Preston North End
Sat Sep 19 1953,Chelsea,1-2,Aston Villa
Sat Sep 19 1953,Blackpool,0-0,Wolverhampton Wanderers
Sat Sep 19 1953,Arsenal,2-2,Manchester City
Sat Sep 19 1953,Liverpool,4-0,Burnley
Sat Sep 19 1953,West Bromwich Albion,2-3,Charlton Athletic
Sat Sep 19 1953,Newcastle United,1-3,Tottenham Hotspur
Wed Sep 23 1953,Sheffield Wednesday,3-0,Newcastle United
