Round,Date,Team 1,FT,HT,Team 2
?,(Tue) 5 Aug 1997 (31),Clydebank FC (1),3-0,?,Brechin City (1)
?,(Tue) 5 Aug 1997 (31),Stenhousemuir (1),2-1,?,Queen of the South (1)
?,(Wed) 6 Aug 1997 (31),Inverness Caledonian Thistle (1),1-1,?,Livingston FC (1)
?,(Wed) 6 Aug 1997 (31),Stranraer (1),0-0,?,Clyde (1)
?,(Sat) 16 Aug 1997 (32),Brechin City (2),2-2,?,Inverness Caledonian Thistle (2)
?,(Sat) 16 Aug 1997 (32),Clyde (2),1-2,?,Forfar Athletic (1)
?,(Sat) 16 Aug 1997 (32),East Fife (1),0-3,?,Stenhousemuir (2)
?,(Sat) 16 Aug 1997 (32),Livingston FC (2),1-0,?,Stranraer (2)
?,(Sat) 16 Aug 1997 (32),Queen of the South (2),2-2,?,Clydebank FC (2)
?,(Sat) 23 Aug 1997 (33),Clydebank FC (3),2-2,?,Clyde (3)
?,(Sat) 23 Aug 1997 (33),Forfar Athletic (2),2-5,?,Brechin City (3)
?,(Sat) 23 Aug 1997 (33),Inverness Caledonian Thistle (3),0-1,?,East Fife (2)
?,(Sat) 23 Aug 1997 (33),Stenhousemuir (3),1-1,?,Livingston FC (3)
?,(Sat) 23 Aug 1997 (33),Stranraer (3),2-1,?,Queen of the South (3)
?,(Sat) 30 Aug 1997 (34),East Fife (3),3-0,?,Clyde (4)
?,(Sat) 30 Aug 1997 (34),Forfar Athletic (3),0-2,?,Clydebank FC (4)
?,(Sat) 30 Aug 1997 (34),Livingston FC (4),3-1,?,Queen of the South (4)
?,(Sat) 30 Aug 1997 (34),Stenhousemuir (4),3-2,?,Inverness Caledonian Thistle (4)
?,(Sat) 30 Aug 1997 (34),Stranraer (4),4-0,?,Brechin City (4)
?,(Sun) 7 Sep 1997 (35),Forfar Athletic (4),1-2,?,East Fife (4)
?,(Sat) 13 Sep 1997 (36),Brechin City (5),0-2,?,Livingston FC (5)
?,(Sat) 13 Sep 1997 (36),Clyde (5),2-0,?,Stenhousemuir (5)
?,(Sat) 13 Sep 1997 (36),Clydebank FC (5),1-2,?,East Fife (5)
?,(Sat) 13 Sep 1997 (36),Inverness Caledonian Thistle (5),2-2,?,Stranraer (5)
?,(Sat) 13 Sep 1997 (36),Queen of the South (5),0-1,?,Forfar Athletic (5)
?,(Sat) 20 Sep 1997 (37),Clyde (6),1-1,?,Brechin City (6)
?,(Sat) 20 Sep 1997 (37),Clydebank FC (6),1-0,?,Stenhousemuir (6)
?,(Sat) 20 Sep 1997 (37),East Fife (6),2-3,?,Livingston FC (6)
?,(Sat) 20 Sep 1997 (37),Forfar Athletic (6),3-1,?,Stranraer (6)
?,(Sat) 20 Sep 1997 (37),Queen of the South (6),2-1,?,Inverness Caledonian Thistle (6)
?,(Sat) 27 Sep 1997 (38),Brechin City (7),0-3,?,Queen of the South (7)
?,(Sat) 27 Sep 1997 (38),Inverness Caledonian Thistle (7),1-2,?,Clyde (7)
?,(Sat) 27 Sep 1997 (38),Livingston FC (7),0-0,?,Clydebank FC (7)
?,(Sat) 27 Sep 1997 (38),Stenhousemuir (7),1-4,?,Forfar Athletic (7)
?,(Sat) 27 Sep 1997 (38),Stranraer (7),3-2,?,East Fife (7)
?,(Sat) 4 Oct 1997 (39),Clyde (8),1-0,?,Livingston FC (8)
?,(Sat) 4 Oct 1997 (39),Clydebank FC (8),0-0,?,Stranraer (8)
?,(Sat) 4 Oct 1997 (39),East Fife (8),3-2,?,Queen of the South (8)
?,(Sat) 4 Oct 1997 (39),Forfar Athletic (8),2-1,?,Inverness Caledonian Thistle (8)
?,(Sat) 4 Oct 1997 (39),Stenhousemuir (8),3-2,?,Brechin City (8)
?,(Sat) 18 Oct 1997 (41),Brechin City (9),0-0,?,East Fife (9)
?,(Sat) 18 Oct 1997 (41),Inverness Caledonian Thistle (9),0-0,?,Clydebank FC (9)
?,(Sat) 18 Oct 1997 (41),Livingston FC (9),4-3,?,Forfar Athletic (9)
?,(Sat) 18 Oct 1997 (41),Queen of the South (9),4-3,?,Clyde (9)
?,(Sat) 18 Oct 1997 (41),Stranraer (9),4-1,?,Stenhousemuir (9)
?,(Sat) 25 Oct 1997 (42),Brechin City (10),2-0,?,Forfar Athletic (10)
?,(Sat) 25 Oct 1997 (42),Clyde (10),0-1,?,Clydebank FC (10)
?,(Sat) 25 Oct 1997 (42),East Fife (10),1-5,?,Inverness Caledonian Thistle (10)
?,(Sat) 25 Oct 1997 (42),Livingston FC (10),2-1,?,Stenhousemuir (10)
?,(Sat) 25 Oct 1997 (42),Queen of the South (10),2-1,?,Stranraer (10)
?,(Sat) 1 Nov 1997 (43),Forfar Athletic (11),2-2,?,Clyde (11)
?,(Sat) 1 Nov 1997 (43),Inverness Caledonian Thistle (11),0-0,?,Brechin City (11)
?,(Sat) 1 Nov 1997 (43),Stenhousemuir (11),0-0,?,East Fife (11)
?,(Sat) 1 Nov 1997 (43),Stranraer (11),1-1,?,Livingston FC (11)
?,(Wed) 5 Nov 1997 (44),Clydebank FC (11),4-0,?,Queen of the South (11)
?,(Sat) 8 Nov 1997 (44),Brechin City (12),2-2,?,Stranraer (12)
?,(Sat) 8 Nov 1997 (44),Clyde (12),3-0,?,East Fife (12)
?,(Sat) 8 Nov 1997 (44),Clydebank FC (12),1-1,?,Forfar Athletic (12)
?,(Sat) 8 Nov 1997 (44),Inverness Caledonian Thistle (12),4-1,?,Stenhousemuir (12)
?,(Sat) 8 Nov 1997 (44),Queen of the South (12),1-0,?,Livingston FC (12)
?,(Sat) 15 Nov 1997 (45),East Fife (13),2-3,?,Clydebank FC (13)
?,(Sat) 15 Nov 1997 (45),Forfar Athletic (13),2-4,?,Queen of the South (13)
?,(Sat) 15 Nov 1997 (45),Livingston FC (13),5-2,?,Brechin City (13)
?,(Sat) 15 Nov 1997 (45),Stenhousemuir (13),0-0,?,Clyde (13)
?,(Sat) 15 Nov 1997 (45),Stranraer (13),2-1,?,Inverness Caledonian Thistle (13)
?,(Sat) 22 Nov 1997 (46),Clyde (14),4-3,?,Inverness Caledonian Thistle (14)
?,(Sat) 22 Nov 1997 (46),Clydebank FC (14),1-1,?,Livingston FC (14)
?,(Sat) 22 Nov 1997 (46),East Fife (14),2-2,?,Stranraer (14)
?,(Sat) 22 Nov 1997 (46),Forfar Athletic (14),1-1,?,Stenhousemuir (14)
?,(Sat) 22 Nov 1997 (46),Queen of the South (14),0-0,?,Brechin City (14)
?,(Sat) 29 Nov 1997 (47),Brechin City (15),2-1,?,Clyde (15)
?,(Sat) 29 Nov 1997 (47),Inverness Caledonian Thistle (15),2-1,?,Queen of the South (15)
?,(Sat) 29 Nov 1997 (47),Stenhousemuir (15),2-3,?,Clydebank FC (15)
?,(Sat) 29 Nov 1997 (47),Stranraer (15),2-2,?,Forfar Athletic (15)
?,(Wed) 3 Dec 1997 (48),Livingston FC (15),1-0,?,East Fife (15)
?,(Sat) 13 Dec 1997 (49),Clydebank FC (16),1-1,?,Inverness Caledonian Thistle (16)
?,(Sat) 13 Dec 1997 (49),East Fife (16),3-1,?,Brechin City (16)
?,(Sat) 13 Dec 1997 (49),Forfar Athletic (16),2-2,?,Livingston FC (16)
?,(Sat) 13 Dec 1997 (49),Stenhousemuir (16),3-0,?,Stranraer (16)
?,(Tue) 16 Dec 1997 (50),Clyde (16),0-0,?,Queen of the South (16)
?,(Sat) 20 Dec 1997 (50),Brechin City (17),1-1,?,Stenhousemuir (17)
?,(Sat) 20 Dec 1997 (50),Inverness Caledonian Thistle (17),2-2,?,Forfar Athletic (17)
?,(Sat) 20 Dec 1997 (50),Livingston FC (17),0-2,?,Clyde (17)
?,(Sat) 20 Dec 1997 (50),Queen of the South (17),2-1,?,East Fife (17)
?,(Sat) 20 Dec 1997 (50),Stranraer (17),0-1,?,Clydebank FC (17)
?,(Sat) 27 Dec 1997 (51),Clydebank FC (18),2-1,?,Clyde (18)
?,(Sat) 27 Dec 1997 (51),Forfar Athletic (18),5-0,?,Brechin City (18)
?,(Sat) 27 Dec 1997 (51),Inverness Caledonian Thistle (18),4-0,?,East Fife (18)
?,(Sat) 27 Dec 1997 (51),Stenhousemuir (18),1-2,?,Livingston FC (18)
?,(Sat) 27 Dec 1997 (51),Stranraer (18),3-4,?,Queen of the South (18)
?,(Sat) 10 Jan 1998 (1),Brechin City (19),0-1,?,Clydebank FC (19)
?,(Sun) 11 Jan 1998 (1),East Fife (19),1-0,?,Forfar Athletic (19)
?,(Tue) 13 Jan 1998 (2),Clyde (19),0-1,?,Stranraer (19)
?,(Sat) 17 Jan 1998 (2),Inverness Caledonian Thistle (19),5-1,?,Clyde (20)
?,(Sat) 17 Jan 1998 (2),Stranraer (20),2-3,?,East Fife (20)
?,(Tue) 20 Jan 1998 (3),Queen of the South (19),0-1,?,Stenhousemuir (19)
?,(Sat) 31 Jan 1998 (4),Clyde (21),2-2,?,Brechin City (20)
?,(Sat) 31 Jan 1998 (4),Clydebank FC (20),1-0,?,Stenhousemuir (20)
?,(Sat) 31 Jan 1998 (4),East Fife (21),2-0,?,Livingston FC (19)
?,(Sat) 31 Jan 1998 (4),Forfar Athletic (20),2-1,?,Stranraer (21)
?,(Sat) 31 Jan 1998 (4),Queen of the South (20),1-0,?,Inverness Caledonian Thistle (20)
?,(Tue) 3 Feb 1998 (5),Brechin City (21),1-1,?,Queen of the South (21)
?,(Tue) 3 Feb 1998 (5),Stenhousemuir (21),2-2,?,Forfar Athletic (21)
?,(Sat) 7 Feb 1998 (5),Brechin City (22),2-1,?,East Fife (22)
?,(Sat) 7 Feb 1998 (5),Inverness Caledonian Thistle (21),3-2,?,Clydebank FC (21)
?,(Sat) 7 Feb 1998 (5),Livingston FC (20),4-0,?,Forfar Athletic (22)
?,(Sat) 7 Feb 1998 (5),Queen of the South (22),0-0,?,Clyde (22)
?,(Sat) 7 Feb 1998 (5),Stranraer (22),1-2,?,Stenhousemuir (22)
?,(Tue) 10 Feb 1998 (6),Livingston FC (21),0-3,?,Clydebank FC (22)
?,(Sat) 14 Feb 1998 (6),Clydebank FC (23),0-1,?,Stranraer (23)
?,(Sun) 15 Feb 1998 (6),East Fife (23),1-5,?,Queen of the South (23)
?,(Tue) 17 Feb 1998 (7),Clyde (23),0-3,?,Livingston FC (22)
?,(Tue) 17 Feb 1998 (7),Stenhousemuir (23),3-1,?,Brechin City (23)
?,(Sat) 21 Feb 1998 (7),Clydebank FC (24),2-1,?,Brechin City (24)
?,(Sat) 21 Feb 1998 (7),Forfar Athletic (23),1-0,?,East Fife (24)
?,(Sat) 21 Feb 1998 (7),Inverness Caledonian Thistle (22),2-2,?,Livingston FC (23)
?,(Sat) 21 Feb 1998 (7),Stenhousemuir (24),2-0,?,Queen of the South (24)
?,(Sat) 21 Feb 1998 (7),Stranraer (24),3-0,?,Clyde (24)
?,(Tue) 24 Feb 1998 (8),Queen of the South (25),0-0,?,Clydebank FC (25)
?,(Wed) 25 Feb 1998 (8),Brechin City (25),3-1,?,Inverness Caledonian Thistle (23)
?,(Wed) 25 Feb 1998 (8),Clyde (25),1-2,?,Forfar Athletic (24)
?,(Wed) 25 Feb 1998 (8),East Fife (25),2-1,?,Stenhousemuir (25)
?,(Wed) 25 Feb 1998 (8),Livingston FC (24),0-1,?,Stranraer (25)
?,(Sat) 28 Feb 1998 (8),East Fife (26),1-1,?,Clyde (26)
?,(Sat) 28 Feb 1998 (8),Forfar Athletic (25),0-0,?,Clydebank FC (26)
?,(Sat) 28 Feb 1998 (8),Stenhousemuir (26),0-3,?,Inverness Caledonian Thistle (24)
?,(Tue) 3 Mar 1998 (9),Livingston FC (25),2-2,?,Inverness Caledonian Thistle (25)
?,(Wed) 4 Mar 1998 (9),Stranraer (26),0-2,?,Brechin City (26)
?,(Sat) 7 Mar 1998 (9),Clyde (27),0-0,?,Stenhousemuir (27)
?,(Sat) 7 Mar 1998 (9),Inverness Caledonian Thistle (26),1-2,?,Stranraer (27)
?,(Sat) 7 Mar 1998 (9),Queen of the South (26),5-1,?,Forfar Athletic (26)
?,(Tue) 10 Mar 1998 (10),Forfar Athletic (27),1-2,?,Inverness Caledonian Thistle (27)
?,(Sat) 14 Mar 1998 (10),Clyde (28),1-6,?,Inverness Caledonian Thistle (28)
?,(Sat) 14 Mar 1998 (10),Clydebank FC (27),0-2,?,Livingston FC (26)
?,(Sat) 14 Mar 1998 (10),East Fife (27),0-3,?,Stranraer (28)
?,(Sat) 14 Mar 1998 (10),Forfar Athletic (28),0-1,?,Stenhousemuir (28)
?,(Sat) 14 Mar 1998 (10),Queen of the South (27),1-1,?,Brechin City (27)
?,(Tue) 17 Mar 1998 (11),Brechin City (28),0-2,?,Livingston FC (27)
?,(Tue) 17 Mar 1998 (11),Clydebank FC (28),0-3,?,East Fife (28)
?,(Sat) 21 Mar 1998 (11),Brechin City (29),0-2,?,Clyde (29)
?,(Sat) 21 Mar 1998 (11),Inverness Caledonian Thistle (29),0-3,?,Queen of the South (28)
?,(Sat) 21 Mar 1998 (11),Livingston FC (28),2-2,?,East Fife (29)
?,(Sat) 21 Mar 1998 (11),Stenhousemuir (29),0-0,?,Clydebank FC (29)
?,(Sat) 21 Mar 1998 (11),Stranraer (29),4-0,?,Forfar Athletic (29)
?,(Wed) 25 Mar 1998 (12),Livingston FC (29),1-1,?,Queen of the South (29)
?,(Sat) 28 Mar 1998 (12),Clyde (30),3-1,?,Queen of the South (30)
?,(Sat) 28 Mar 1998 (12),Clydebank FC (30),1-0,?,Inverness Caledonian Thistle (30)
?,(Sat) 28 Mar 1998 (12),East Fife (30),4-1,?,Brechin City (30)
?,(Sat) 28 Mar 1998 (12),Forfar Athletic (30),2-1,?,Livingston FC (30)
?,(Sat) 28 Mar 1998 (12),Stenhousemuir (30),0-1,?,Stranraer (30)
?,(Sat) 4 Apr 1998 (13),Inverness Caledonian Thistle (31),0-0,?,Forfar Athletic (31)
?,(Sat) 4 Apr 1998 (13),Stranraer (31),2-1,?,Clydebank FC (31)
?,(Sun) 5 Apr 1998 (13),Queen of the South (31),1-4,?,East Fife (31)
?,(Tue) 7 Apr 1998 (14),Brechin City (31),4-3,?,Stenhousemuir (31)
?,(Tue) 7 Apr 1998 (14),Livingston FC (31),4-0,?,Clyde (31)
?,(Sat) 11 Apr 1998 (14),Brechin City (32),1-3,?,Stranraer (32)
?,(Sat) 11 Apr 1998 (14),Clyde (32),0-0,?,East Fife (32)
?,(Sat) 11 Apr 1998 (14),Clydebank FC (32),0-1,?,Forfar Athletic (32)
?,(Sat) 11 Apr 1998 (14),Inverness Caledonian Thistle (32),2-1,?,Stenhousemuir (32)
?,(Sat) 11 Apr 1998 (14),Queen of the South (32),0-1,?,Livingston FC (32)
?,(Sat) 18 Apr 1998 (15),East Fife (33),0-2,?,Clydebank FC (33)
?,(Sat) 18 Apr 1998 (15),Forfar Athletic (33),2-4,?,Queen of the South (33)
?,(Sat) 18 Apr 1998 (15),Livingston FC (33),1-0,?,Brechin City (33)
?,(Sat) 18 Apr 1998 (15),Stenhousemuir (33),1-1,?,Clyde (33)
?,(Sat) 18 Apr 1998 (15),Stranraer (33),3-1,?,Inverness Caledonian Thistle (33)
?,(Sat) 25 Apr 1998 (16),Brechin City (34),1-1,?,Forfar Athletic (34)
?,(Sat) 25 Apr 1998 (16),Clyde (34),2-0,?,Clydebank FC (34)
?,(Sat) 25 Apr 1998 (16),East Fife (34),0-1,?,Inverness Caledonian Thistle (34)
?,(Sat) 25 Apr 1998 (16),Livingston FC (34),1-1,?,Stenhousemuir (34)
?,(Sat) 25 Apr 1998 (16),Queen of the South (34),3-2,?,Stranraer (34)
?,(Sat) 2 May 1998 (17),Clydebank FC (35),1-1,?,Queen of the South (35)
?,(Sat) 2 May 1998 (17),Forfar Athletic (35),0-1,?,Clyde (35)
?,(Sat) 2 May 1998 (17),Inverness Caledonian Thistle (35),2-1,?,Brechin City (35)
?,(Sat) 2 May 1998 (17),Stenhousemuir (35),2-3,?,East Fife (35)
?,(Sat) 2 May 1998 (17),Stranraer (35),2-0,?,Livingston FC (35)
?,(Sat) 9 May 1998 (18),Brechin City (36),1-6,?,Clydebank FC (36)
?,(Sat) 9 May 1998 (18),Clyde (36),0-1,?,Stranraer (36)
?,(Sat) 9 May 1998 (18),East Fife (36),0-1,?,Forfar Athletic (36)
?,(Sat) 9 May 1998 (18),Livingston FC (36),1-2,?,Inverness Caledonian Thistle (36)
?,(Sat) 9 May 1998 (18),Queen of the South (36),1-0,?,Stenhousemuir (36)
