Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 1 Aug 2015 (W31),Celtic FC (1),2-0,2-0,Ross County (1)
?,(Sat) 1 Aug 2015 (W31),Hamilton Academical FC (1),0-0,0-0,Partick Thistle (1)
?,(Sat) 1 Aug 2015 (W31),Inverness Caledonian Thistle (1),0-1,0-1,Motherwell FC (1)
?,(Sat) 1 Aug 2015 (W31),Kilmarnock FC (1),0-4,0-2,Dundee FC (1)
?,(Sun) 2 Aug 2015 (W31),Dundee United (1),0-1,0-0,Aberdeen FC (1)
?,(Sun) 2 Aug 2015 (W31),Heart of Midlothian FC (1),4-3,1-0,St Johnstone FC (1)
?,(Sat) 8 Aug 2015 (W32),Dundee FC (2),1-2,1-0,Heart of Midlothian FC (2)
?,(Sat) 8 Aug 2015 (W32),Motherwell FC (2),0-2,0-0,Dundee United (2)
?,(Sat) 8 Aug 2015 (W32),Ross County (2),2-0,2-0,Hamilton Academical FC (2)
?,(Sat) 8 Aug 2015 (W32),St Johnstone FC (2),1-1,0-1,Inverness Caledonian Thistle (2)
?,(Sun) 9 Aug 2015 (W32),Aberdeen FC (2),2-0,1-0,Kilmarnock FC (2)
?,(Sun) 9 Aug 2015 (W32),Partick Thistle (2),0-2,0-1,Celtic FC (2)
?,(Tue) 11 Aug 2015 (W33),Dundee United (3),2-2,0-0,Dundee FC (3)
?,(Tue) 11 Aug 2015 (W33),St Johnstone FC (3),1-1,0-1,Ross County (3)
?,(Wed) 12 Aug 2015 (W33),Heart of Midlothian FC (3),2-0,1-0,Motherwell FC (3)
?,(Wed) 12 Aug 2015 (W33),Inverness Caledonian Thistle (3),0-0,0-0,Partick Thistle (3)
?,(Wed) 12 Aug 2015 (W33),Kilmarnock FC (3),2-2,1-1,Celtic FC (3)
?,(Sat) 15 Aug 2015 (W33),Celtic FC (4),4-2,2-0,Inverness Caledonian Thistle (4)
?,(Sat) 15 Aug 2015 (W33),Dundee FC (4),2-1,2-0,St Johnstone FC (4)
?,(Sat) 15 Aug 2015 (W33),Hamilton Academical FC (3),4-0,3-0,Dundee United (4)
?,(Sat) 15 Aug 2015 (W33),Motherwell FC (4),1-2,1-1,Aberdeen FC (3)
?,(Sat) 15 Aug 2015 (W33),Partick Thistle (4),2-2,1-1,Kilmarnock FC (4)
?,(Sat) 15 Aug 2015 (W33),Ross County (4),1-2,1-2,Heart of Midlothian FC (4)
?,(Sat) 22 Aug 2015 (W34),Aberdeen FC (4),2-0,0-0,Dundee FC (5)
?,(Sat) 22 Aug 2015 (W34),Dundee United (5),1-3,1-2,Celtic FC (5)
?,(Sat) 22 Aug 2015 (W34),Heart of Midlothian FC (5),3-0,1-0,Partick Thistle (5)
?,(Sat) 22 Aug 2015 (W34),Inverness Caledonian Thistle (5),0-2,0-1,Hamilton Academical FC (4)
?,(Sat) 22 Aug 2015 (W34),Kilmarnock FC (5),0-4,0-4,Ross County (5)
?,(Sat) 22 Aug 2015 (W34),St Johnstone FC (5),2-1,0-1,Motherwell FC (5)
?,(Sat) 29 Aug 2015 (W35),Celtic FC (6),3-1,2-1,St Johnstone FC (6)
?,(Sat) 29 Aug 2015 (W35),Dundee FC (6),1-1,0-0,Inverness Caledonian Thistle (6)
?,(Sat) 29 Aug 2015 (W35),Hamilton Academical FC (5),3-2,1-0,Heart of Midlothian FC (6)
?,(Sat) 29 Aug 2015 (W35),Motherwell FC (6),1-0,1-0,Kilmarnock FC (6)
?,(Sat) 29 Aug 2015 (W35),Partick Thistle (6),0-2,0-0,Aberdeen FC (5)
?,(Sat) 29 Aug 2015 (W35),Ross County (6),2-1,2-0,Dundee United (6)
?,(Fri) 11 Sep 2015 (W37),Inverness Caledonian Thistle (7),2-0,0-0,Heart of Midlothian FC (7)
?,(Sat) 12 Sep 2015 (W37),Aberdeen FC (6),2-1,0-1,Celtic FC (7)
